,JLT,,,,,,,,,,,,C (Sem algortimos de seleção de features),,,,,,,,,,,,SFS,,,,,,,,,,
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10, AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG
,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,
0,0.91,0.93,0.94,0.89,0.94,0.94,0.95,0.95,0.95,0.95,0.935,,0.9,0.92,0.95,0.92,0.93,0.94,0.9,0.93,0.94,0.93,0.926,,0.95,0.94,0.91,0.93,0.91,0.94,0.95,0.93,0.96,0.94,0.936
1,0.95,0.96,0.97,0.94,0.96,0.96,0.97,0.97,0.97,0.97,0.962,,0.94,0.94,0.97,0.95,0.96,0.97,0.93,0.96,0.96,0.96,0.954,,0.97,0.96,0.95,0.96,0.95,0.96,0.97,0.95,0.97,0.97,0.961
accuracy,0.93,0.95,0.96,0.92,0.95,0.95,0.96,0.96,0.96,0.96,0.95,,0.92,0.94,0.96,0.93,0.95,0.96,0.92,0.95,0.95,0.95,0.943,,0.96,0.95,0.94,0.94,0.93,0.95,0.96,0.94,0.97,0.96,0.95
macro avg,0.93,0.95,0.95,0.91,0.95,0.95,0.96,0.96,0.96,0.96,0.948,,0.92,0.93,0.96,0.93,0.94,0.96,0.92,0.95,0.95,0.95,0.941,,0.96,0.95,0.93,0.94,0.93,0.95,0.96,0.94,0.96,0.95,0.947
weighted avg,0.93,0.95,0.96,0.92,0.95,0.95,0.96,0.96,0.96,0.96,0.95,,0.92,0.94,0.96,0.93,0.95,0.96,0.92,0.95,0.95,0.95,0.943,,0.96,0.95,0.94,0.94,0.93,0.95,0.96,0.94,0.97,0.96,0.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,
0,0.74,0,0.09,0.74,0.16,0.79,0.29,0.37,0.53,0.8,0.451,,0.53,0.53,0.1,0.37,0.09,0.52,0.43,0.65,0.52,0.47,0.421,,0.82,0.67,0.78,0.88,0.91,0.91,0.73,0.89,0.73,0.87,0.819
1,0.8,0.78,0.78,0.86,0.79,0.89,0.81,0.82,0.55,0.91,0.799,,0.53,0.52,0.77,0.7,0.77,0.54,0.61,0.55,0.59,0.6,0.618,,0.86,0.64,0.9,0.94,0.95,0.95,0.74,0.94,0.89,0.93,0.874
accuracy,0.77,0.63,0.65,0.82,0.67,0.85,0.7,0.72,0.54,0.88,0.723,,0.53,0.52,0.63,0.6,0.63,0.53,0.54,0.52,0.56,0.54,0.56,,0.84,0.66,0.87,0.92,0.94,0.94,0.73,0.92,0.84,0.91,0.857
