,JLT,,,,,,,,,,,,C (Sem algortimos de seleção de features),,,,,,,,,,,,SFS,,,,,,,,,,
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG
,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,
Acurácia Geral,93.23,95.24,95.74,92.23,95.49,95.24,95.99,96.24,96.24,96.49,95.213,,92,93.98,95.99,93.48,94.74,95.99,91.98,94.99,95.24,94.99,94.48714286,,95.99,94.99,93.73,94.49,93.23,95.24,96.49,94.49,96.74,95.74,95.113
Qtde Features,6,4,7,5,4,7,5,7,7,4,5.60,,32,32,32,32,32,32,32,32,32,32,32,,11,8,8,3,16,11,8,13,8,12,9.80
Lista,"['perimeter_worst', 'smoothness_se', 'texture_mean', 'compactness_worst', 'smoothness_mean', 'radius_se']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'smoothness_worst']","['perimeter_worst', 'fractal_dimension_mean', 'texture_worst', 'smoothness_worst', 'concave points_se', 'compactness_se', 'compactness_worst']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'texture_worst', 'radius_se']","['perimeter_worst', 'texture_se', 'texture_mean', 'smoothness_worst']","['perimeter_worst', 'texture_se', 'texture_mean', 'texture_worst', 'smoothness_worst', 'concave points_se', 'concavity_se']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'smoothness_worst', 'fractal_dimension_worst']","['perimeter_worst', 'texture_se', 'texture_worst', 'smoothness_worst', 'compactness_se', 'smoothness_mean', 'smoothness_se']","['perimeter_worst', 'texture_se', 'texture_mean', 'texture_worst', 'smoothness_worst', 'compactness_worst', 'symmetry_se']","['perimeter_worst', 'smoothness_se', 'texture_mean', 'smoothness_worst']",1.35,,--,--,--,--,--,--,--,--,--,--,,,radius_mean' 'texture_mean' 'smoothness_mean' 'concave points_mean' 'texture_se' 'smoothness_se' 'concavity_se' 'texture_worst' 'perimeter_worst' 'smoothness_worst' 'compactness_worst'],['texture_mean' 'compactness_mean' 'concavity_mean' 'symmetry_mean' 'smoothness_se' 'perimeter_worst' 'area_worst' 'smoothness_worst'],['concave points_mean' 'perimeter_se' 'compactness_se' 'symmetry_se' 'radius_worst' 'texture_worst' 'concavity_worst' 'fractal_dimension_worst'],['radius_mean' 'area_worst' 'concave points_worst'],['radius_mean' 'texture_mean' 'perimeter_mean' 'area_mean' 'symmetry_mean' 'fractal_dimension_mean' 'perimeter_se' 'area_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'radius_worst' 'perimeter_worst' 'area_worst' 'fractal_dimension_worst'],['texture_mean' 'perimeter_mean' 'smoothness_mean' 'symmetry_mean' 'symmetry_se' 'texture_worst' 'area_worst' 'smoothness_worst' 'concave points_worst' 'symmetry_worst' 'fractal_dimension_worst'],['radius_mean' 'texture_mean' 'smoothness_mean' 'concavity_mean' 'fractal_dimension_mean' 'concavity_se' 'perimeter_worst' 'concave points_worst'],['radius_mean' 'texture_mean' 'smoothness_mean' 'fractal_dimension_mean' 'texture_se' 'concavity_se' 'symmetry_se' 'fractal_dimension_se' 'perimeter_worst' 'smoothness_worst' 'concavity_worst' 'symmetry_worst' 'fractal_dimension_worst'],['texture_mean' 'fractal_dimension_mean' 'texture_se' 'concave points_se' 'texture_worst' 'area_worst' 'compactness_worst' 'concave points_worst'],,3.58
,Mínimo,4,Máximo,7,,,,,,,,,,,,,,,,,,,,,Mínimo,3,Máximo,16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,
Acurácia Geral,77.44,63.41,64.91,81.95,66.67,85.21,69.67,71.68,54.39,87.97,72.33,,52.88,52.38,63.16,59.55,62.91,52.88,53.63,55.39,55.54,54.14,56.29142857,,84.46,65.66,86.72,91.88,93.73,93.73,73.43,92.23,84.46,91.23,85.753
