,JLT,,,,,,,,,,,,C (Sem algortimos de seleção de features),,,,,,,,,,,,SFS,,,,,,,,,,
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG
,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,
0,0.94,0.92,0.96,0.91,0.94,0.95,0.97,0.96,0.98,0.95,0.948,,0.93,0.94,0.95,0.92,0.9,0.96,0.8,0.96,0.95,0.95,0.926,,0.99,0.91,0.96,0.92,0.88,0.95,0.96,0.95,0.96,0.96,0.944
1,0.93,0.97,0.96,0.93,0.96,0.96,0.96,0.96,0.95,0.97,0.955,,0.92,0.94,0.97,0.95,0.97,0.96,0.95,0.94,0.95,0.95,0.95,,0.95,0.98,0.92,0.96,0.96,0.96,0.97,0.94,0.97,0.96,0.957
macro avg,0.93,0.95,0.96,0.92,0.95,0.95,0.96,0.96,0.97,0.96,0.951,,0.93,0.94,0.96,0.93,0.94,0.96,0.91,0.95,0.95,0.95,0.942,,0.97,0.94,0.94,0.94,0.92,0.95,0.96,0.95,0.97,0.96,0.95
weighted avg,0.93,0.95,0.96,0.92,0.95,0.95,0.96,0.96,0.96,0.96,0.95,,0.92,0.94,0.96,0.93,0.95,0.96,0.92,0.95,0.95,0.95,0.943,,0.96,0.95,0.94,0.95,0.93,0.95,0.96,0.94,0.97,0.90,0.945
,,,,,,,,,,,0.9515,,,,,,,,,,,,0.9380,,,,,,,,,,,,0.9505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,
0,0.64,0,0.88,0.78,1,0.83,1,1,0.43,0.99,0.755,,0.42,0.41,0.47,0.43,0.44,0.41,0.39,0.39,0.43,0.42,0.421,,0.71,0.52,0.99,0.95,0.97,0.97,0.58,0.92,0.99,0.97,0.857
1,0.92,0.63,0.4,0.84,0.66,0.86,0.68,0.69,0.73,0.84,0.725,,0.73,0.72,0.64,0.66,0.64,0.71,0.65,-0.65,0.71,0.67,0.548,,0.98,0.96,0.83,0.91,0.92,0.92,0.98,0.92,0.81,0.89,0.912
macro avg,0.78,0.32,0.76,0.81,0.83,0.85,0.84,0.85,0.58,0.92,0.754,,0.57,0.57,0.55,0.55,0.54,0.56,0.52,0.52,0.57,0.54,0.549,,0.85,0.74,0.91,0.93,0.95,0.95,0.78,0.92,0.9,0.93,0.886
weighted avg,0.82,0.4,0.73,0.82,0.78,0.85,0.79,0.8,0.62,0.9,0.751,,0.61,0.61,0.58,0.58,0.56,0.6,0.56,0.55,0.61,0.58,0.584,,0.88,0.8,0.89,0.92,0.94,0.94,0.83,0.92,0.87,0.92,0.891
,,,,,,,,,,,0.7400,,,,,,,,,,,,0.4845,,,,,,,,,,,,0.8845
