,JLT,,,,,,,,,,,,C (Sem algortimos de seleção de features),,,,,,,,,,,,SFS,,,,,,,,,,
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG
,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,
0,0.88,0.94,0.92,0.86,0.93,0.93,0.93,0.94,0.92,0.95,0.92,,0.87,0.9,0.95,0.92,0.93,0.91,0.87,0.9,0.94,0.92,0.911,,0.91,0.97,0.87,0.94,0.94,0.93,0.94,0.91,0.95,0.92,0.928
1,0.97,0.96,0.98,0.95,0.97,0.97,0.98,0.98,0.99,0.97,0.972,,0.96,0.96,0.97,0.95,0.98,0.92,0.96,0.98,0.96,0.97,0.961,,0.99,0.94,0.98,0.95,0.93,0.97,0.98,0.97,0.98,0.98,0.967
macro avg,0.92,0.95,0.95,0.91,0.95,0.95,0.95,0.96,0.95,0.96,0.945,,0.91,0.93,0.96,0.93,0.95,0.92,0.91,0.94,0.95,0.94,0.934,,0.95,0.95,0.92,0.94,0.93,0.95,0.96,0.94,0.96,0.95,0.945
weighted avg,0.93,0.95,0.96,0.92,0.95,0.95,0.96,0.96,0.96,0.96,0.95,,0.92,0.94,0.96,0.93,0.96,0.92,0.92,0.95,0.95,0.95,0.94,,0.96,0.95,0.94,0.94,0.93,0.95,0.96,0.94,0.97,0.96,0.95
,,,,,,,,,,,0.95,,,,,,,,,,,,0.9360,,,,,,,,,,,,0.9475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,
0,0.9,0,0.05,0.7,0.09,0.75,0.17,0.23,0.71,0.68,0.43,,0.73,0.72,0.05,0.33,0.05,0.7,0.47,0.38,0.64,0.55,0.462,,0.98,0.97,0.64,0.83,0.86,0.86,0.98,0.86,0.58,0.78,0.834
1,0.7,1,1,0.89,1,0.91,1,1,0.45,1,0.90,,0.41,0.41,0.96,0.75,0.96,0.43,0.57,0.65,0.51,0.54,0.619,,0.77,0.48,1,0.97,0.98,0.98,0.59,0.96,1,0.99,0.872
macro avg,0.8,0.5,0.52,0.79,0.54,0.83,0.59,0.61,0.58,0.84,0.66,,0.57,0.57,0.51,0.54,0.51,0.56,0.52,0.52,0.57,0.54,0.541,,0.87,0.72,0.82,0.9,0.92,0.92,0.78,0.91,0.79,0.88,0.851
weighted avg,0.77,0.63,0.65,0.82,0.67,0.85,0.7,0.72,0.54,0.88,0.72,,0.53,0.42,0.63,0.6,0.63,0.53,0.54,0.55,0.56,0.54,0.553,,0.84,0.66,0.87,0.92,0.94,0.94,0.73,0.92,0.84,0.91,0.857
,,,,,,,,,,,0.6615,,,,,,,,,,,,0.5405,,,,,,,,,,,,0.8530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
