,JLT,,,,,,,,,,,,C (Sem algortimos de seleção de features),,,,,,,,,,,,SFS,,,,,,,,,,
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG
,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,,,Random-forest,,,,,,,,,,
0,153,138,140,140,147,149,151,154,152,140,146.4,,152,147,148,154,140,144,150,148,152,154,148.9,,153,148,148,151,145,151,144,159,145,144,148.8
1,246,261,259,259,252,250,248,245,247,259,252.6,,247,252,251,245,259,255,249,251,247,245,250.1,,246,251,251,248,254,248,255,240,254,255,250.2
accuracy,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
macro avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
weighted avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,,,SVM Linear,,,,,,,,,,
0,146,146,146,146,146,146,146,146,146,146,146,,146,146,146,146,146,146,146,146,146,146,146,,146,146,146,146,146,146,146,146,146,146,146
1,253,253,253,253,253,253,253,253,253,253,253,,253,253,253,253,253,253,253,253,253,253,253,,253,253,253,253,253,253,253,253,253,253,253
accuracy,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
macro avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
weighted avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KNN,,,,,,,,,,,,KNN,,,,,,,,,,,,KNN,,,,,,,,,,
0,151,145,157,151,143,147,145,152,157,146,149.4,,151,154,147,159,148,149,151,145,149,146,149.9,,154,149,146,145,144,143,151,151,150,145,147.8
1,248,254,242,248,256,252,254,247,242,253,249.6,,248,245,252,240,251,250,248,254,250,253,249.1,,245,250,253,254,255,256,248,248,249,24,228.2
accuracy,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
macro avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
weighted avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DecisionTree,,,,,,,,,,,,DecisionTree,,,,,,,,,,,,DecisionTree,,,,,,,,,,
0,144,137,149,147,149,141,158,140,150,155,147,,156,153,147,141,158,149,146,142,153,146,149.1,,153,150,145,140,165,140,139,148,144,254,157.8
1,255,262,250,254,250,258,241,259,249,244,252.2,,243,246,252,258,241,250,253,257,246,253,249.9,,246,249,254,259,234,259,260,251,255,245,251.2
accuracy,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
macro avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
weighted avg,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399,,399,399,399,399,399,399,399,399,399,399,399
